epoch,model_name,train_loss,train_accuracy,train_precision,train_recall,train_f1,train_tp,train_fp,train_tn,train_fn,val_loss,val_accuracy,val_precision,val_recall,val_f1,val_tp,val_fp,val_tn,val_fn,epoch_time_seconds
11,MLC-19k,0.7178750501229213,71.09826589595376,0.7154119489818752,0.6940507818781355,0.7027261430135637,369,150,1407,150,0.7832337162073921,66.66666666666666,0.6650136194456574,0.6575267425810905,0.6598880258669634,86,43,344,43,35.9062283039093
12,MLC-19k,0.6795066989385165,71.48362235067437,0.7286089044229032,0.6951552063336397,0.7064842783713399,371,148,1409,148,0.7877303432015812,68.21705426356588,0.701547619047619,0.6768288474810213,0.6767857142857142,88,41,346,41,35.663729667663574
13,MLC-19k,0.6806460123795729,72.44701348747591,0.7340503613369467,0.7023831143306938,0.7138547596446272,376,143,1414,143,0.869826672708287,68.9922480620155,0.6837451332734352,0.6901224982746723,0.6796056884292179,89,40,347,40,186.57231068611145
14,MLC-19k,0.669355255823869,74.18111753371869,0.74836145669479,0.7255045937946054,0.7346720035331922,385,134,1423,134,0.7161662508459652,74.4186046511628,0.7534917054633941,0.7398809523809524,0.7395925932931096,96,33,354,33,37.07640719413757
15,MLC-19k,0.6405426979064941,73.79576107899807,0.7497060363115409,0.7155074812942828,0.7274228593038314,383,136,1421,136,0.8224066092687494,68.21705426356588,0.6947278911564626,0.6848084886128365,0.6824282147315854,88,41,346,41,34.24151921272278
16,MLC-19k,0.6609214723110199,70.71290944123314,0.7125489133174143,0.6992729148758345,0.705091346031399,367,152,1405,152,0.7232338751063627,68.9922480620155,0.677966424333916,0.697166149068323,0.6818820283154676,89,40,347,40,34.79142761230469
17,MLC-19k,0.6329423212088071,75.33718689788054,0.754484096677435,0.7390379831772621,0.7455004068775152,391,128,1429,128,0.7422316793133231,73.64341085271317,0.7466662580363953,0.7089156314699793,0.7156192207849548,95,34,353,34,34.83409404754639
18,MLC-19k,0.6326456322119787,73.79576107899807,0.7504433108028999,0.7173963259569248,0.7292769898310268,383,136,1421,136,0.7545802505577311,72.09302325581395,0.7094638770840144,0.704848171152519,0.7064182618183543,93,36,351,36,34.11391639709473
19,MLC-19k,0.59627912571797,75.14450867052022,0.7570551138644604,0.7434555331005335,0.7492543393721494,390,129,1428,129,0.7660964043701396,71.31782945736434,0.7190430402930402,0.7212172187715666,0.7127244626372886,92,37,350,37,36.03516125679016
20,MLC-19k,0.5922324682657535,76.6859344894027,0.7698397040254165,0.7690396021225951,0.7693858560794045,398,121,1436,121,0.6627663689501145,72.09302325581395,0.7423222610722611,0.710502933057281,0.7213845933562428,93,36,351,36,37.75171494483948
21,MLC-19k,0.6051797119470743,75.52986512524085,0.7648311848715075,0.7464151775876822,0.7543606875109848,392,127,1430,127,0.7881799340248108,68.9922480620155,0.7052011122751488,0.6947420634920636,0.6860629651591207,89,40,347,40,37.31132102012634
22,MLC-19k,0.596074757209191,74.373795761079,0.75231242822776,0.7436709352163788,0.7473041511466167,386,133,1424,133,0.6933583284125608,73.64341085271317,0.7350113122171946,0.7318883712905452,0.7288672064270855,95,34,353,34,37.491105794906616
23,MLC-19k,0.5405456121151264,78.61271676300578,0.7917001105316197,0.7742484083514153,0.7816321986135496,408,111,1446,111,0.7623461555032169,68.21705426356588,0.6914058355437666,0.6891735679779158,0.6787003666473238,88,41,346,41,38.16177701950073
24,MLC-19k,0.5698679575553307,75.91522157996147,0.7614611227421003,0.7550436231817883,0.7579008482190446,394,125,1432,125,0.7017341817126554,72.09302325581395,0.7251429557330178,0.7225069013112491,0.7230217078310948,93,36,351,36,37.45599675178528
25,MLC-19k,0.5540506090109165,78.22736030828517,0.7830453645305633,0.7753309159994679,0.7788974214126263,406,113,1444,113,0.6726990955717423,75.1937984496124,0.7455338861588862,0.7408040027605245,0.74250001894413,97,32,355,32,37.22813582420349
